latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
25.55195,100.61194,335.1,0.54,0.42,2020-06-01,06:06,N,nominal,1.0NRT,304.2,6,D
26.50195,101.83923,336.6,0.45,0.39,2020-06-01,06:06,N,low,1.0NRT,308.5,9.1,D
26.51064,101.84673,337,0.45,0.39,2020-06-01,06:06,N,low,1.0NRT,309.4,10,D
19.51985,83.26174,335.8,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,297.8,4.2,D
19.51928,83.2578,339.5,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,300.1,4.2,D
19.5419,83.39133,336.6,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,291.1,2.5,D
19.61725,83.26186,333.5,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,301.1,2.8,D
8.82439,80.20331,332.8,0.5,0.41,2020-06-01,07:42,N,nominal,1.0NRT,293.3,3.3,D
8.92608,80.50283,340.6,0.48,0.4,2020-06-01,07:42,N,nominal,1.0NRT,294.8,39.9,D
8.92842,80.50336,349.9,0.48,0.4,2020-06-01,07:42,N,nominal,1.0NRT,293,18.4,D
9.3707,78.67993,337.4,0.4,0.44,2020-06-01,07:42,N,nominal,1.0NRT,290.2,3.5,D
9.52333,78.82174,331.5,0.39,0.44,2020-06-01,07:42,N,nominal,1.0NRT,292.7,3.9,D
9.52396,78.82454,336.2,0.39,0.44,2020-06-01,07:42,N,nominal,1.0NRT,292.8,3.1,D
13.36244,77.45975,330,0.42,0.45,2020-06-01,07:42,N,nominal,1.0NRT,291.7,3.6,D
16.23003,81.15839,336.7,0.39,0.37,2020-06-01,07:42,N,low,1.0NRT,302.1,2.7,D
16.12248,80.39819,337.9,0.41,0.37,2020-06-01,07:42,N,low,1.0NRT,302.5,6.9,D
16.3273,81.21706,345.3,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,303.8,6.9,D
16.33122,81.22015,332.8,0.39,0.36,2020-06-01,07:42,N,low,1.0NRT,301.8,6.5,D
16.34067,81.21481,339,0.39,0.36,2020-06-01,07:42,N,low,1.0NRT,302.4,3.2,D
16.3765,81.24638,332,0.39,0.36,2020-06-01,07:42,N,low,1.0NRT,302.2,3.5,D
16.73183,82.14349,338.7,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,298.1,3.4,D
16.73625,82.12804,331.4,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,298.1,2.1,D
16.72698,82.00069,338.2,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,295.2,2.8,D
16.8178,82.1545,331.3,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,293.3,3.8,D
16.54699,80.25404,330.1,0.41,0.37,2020-06-01,07:42,N,low,1.0NRT,290.2,7.9,D
16.78964,81.29203,348,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,301.3,13.3,D
16.94777,82.14015,334.6,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,294.1,2.8,D
16.65015,80.22034,342.2,0.41,0.37,2020-06-01,07:42,N,low,1.0NRT,300.2,6.6,D
17.0662,82.1865,333.3,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,297,1.5,D
16.93651,80.04742,340.7,0.42,0.37,2020-06-01,07:42,N,low,1.0NRT,305.2,7.7,D
17.56725,83.01018,337.4,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,296.5,2.5,D
17.60579,83.2041,332.6,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,296.8,3.8,D
16.59579,76.85892,341,0.4,0.44,2020-06-01,07:42,N,nominal,1.0NRT,295.6,4.3,D
17.33356,79.46774,341.5,0.43,0.38,2020-06-01,07:42,N,low,1.0NRT,302.3,8.8,D
18.07946,82.86186,334.6,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,285.1,9.1,D
17.72136,79.84329,337.8,0.42,0.37,2020-06-01,07:42,N,low,1.0NRT,300.5,6.8,D
19.76885,94.07246,345.5,0.57,0.69,2020-06-01,07:42,N,nominal,1.0NRT,283.4,4.9,D
18.66642,84.16763,335.7,0.42,0.38,2020-06-01,07:42,N,nominal,1.0NRT,294.8,6.8,D
18.74067,84.10349,331.5,0.42,0.38,2020-06-01,07:42,N,nominal,1.0NRT,293.4,3.3,D
18.72604,83.84946,335,0.42,0.37,2020-06-01,07:42,N,nominal,1.0NRT,287.6,4,D
19.08389,83.89238,335.2,0.42,0.38,2020-06-01,07:42,N,nominal,1.0NRT,291.9,3.8,D
19.03921,82.75111,330.2,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,291.7,1.6,D
19.09132,82.80373,334,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,295.9,3.2,D
19.29403,84.02742,334.9,0.42,0.38,2020-06-01,07:42,N,nominal,1.0NRT,285.7,4.8,D
19.38939,83.72054,343.8,0.42,0.37,2020-06-01,07:42,N,nominal,1.0NRT,296.6,6.8,D
19.42016,83.76488,330.6,0.42,0.37,2020-06-01,07:42,N,nominal,1.0NRT,295.9,4.7,D
19.48734,83.57241,337.2,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,297.1,5.4,D
21.75304,83.82246,335,0.44,0.38,2020-06-01,07:42,N,low,1.0NRT,305.9,4.2,D
21.78996,83.88681,334.7,0.44,0.38,2020-06-01,07:42,N,low,1.0NRT,306.3,6.2,D
21.82054,83.89947,335.5,0.44,0.38,2020-06-01,07:42,N,low,1.0NRT,305.9,4.7,D
21.73164,83.14549,339.1,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,301.1,3.2,D
21.55515,81.68233,340,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.2,3.9,D
21.55847,81.68178,340,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,304.8,3.9,D
21.75946,82.97009,338.3,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,303.9,4.4,D
21.75939,82.97026,342,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,303.7,3.4,D
21.7628,82.96973,337.3,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,303.7,3.4,D
21.74152,82.79195,338.9,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,306.1,3.2,D
21.74492,82.7914,342.4,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.6,3.2,D
21.81194,83.19869,338.8,0.42,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.3,2.3,D
21.81139,83.19468,335.1,0.42,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.8,1.8,D
21.65032,81.63925,336.9,0.39,0.36,2020-06-01,07:42,N,low,1.0NRT,308.3,6.2,D
21.8259,82.75032,344,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,303.8,7.6,D
21.92134,83.35144,352,0.42,0.38,2020-06-01,07:42,N,nominal,1.0NRT,311.8,11.4,D
21.91986,83.35612,335.5,0.42,0.38,2020-06-01,07:42,N,low,1.0NRT,306,5.6,D
21.91931,83.35203,344.6,0.42,0.38,2020-06-01,07:42,N,nominal,1.0NRT,310.4,6.4,D
21.92277,83.35149,341.3,0.42,0.38,2020-06-01,07:42,N,nominal,1.0NRT,308.6,6.4,D
21.87055,82.92016,342.9,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.5,3.6,D
21.87,82.91619,349.6,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,306.9,4.3,D
21.87397,82.91961,348.6,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.3,7.4,D
21.87341,82.91565,341.4,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.9,3.1,D
21.91327,83.05152,349.8,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,306,4.4,D
21.91725,83.05496,336.9,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.5,4.4,D
21.9167,83.05097,340.2,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.5,4.4,D
21.92842,82.95953,348.7,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.5,4.2,D
21.79247,82.0102,339.7,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,307.2,3.9,D
21.90975,82.72874,343.7,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.1,5.1,D
21.98428,83.23363,339.7,0.42,0.38,2020-06-01,07:42,N,nominal,1.0NRT,308.9,4.4,D
21.91314,82.7282,346.2,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.1,5.1,D
22.21131,84.86445,340.9,0.49,0.4,2020-06-01,07:42,N,nominal,1.0NRT,301.8,7.1,D
21.95983,82.9099,337.9,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.3,3.7,D
22.00787,83.22575,340.1,0.42,0.38,2020-06-01,07:42,N,nominal,1.0NRT,307.4,5.2,D
21.97828,82.96809,336.6,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,306.2,3.7,D
21.98894,82.86899,338.2,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.9,4.1,D
22.05497,81.84288,337.2,0.39,0.36,2020-06-01,07:42,N,low,1.0NRT,308.7,4.5,D
22.31824,82.73598,334.9,0.41,0.37,2020-06-01,07:42,N,low,1.0NRT,306.2,3.1,D
20.74384,73.43192,331.2,0.55,0.51,2020-06-01,07:42,N,nominal,1.0NRT,297.7,3.1,D
22.32858,82.68594,330.8,0.41,0.37,2020-06-01,07:42,N,low,1.0NRT,302.5,1.3,D
21.18967,75.63085,340.2,0.4,0.44,2020-06-01,07:42,N,nominal,1.0NRT,306.2,4.2,D
21.12716,75.29432,338.9,0.42,0.45,2020-06-01,07:42,N,nominal,1.0NRT,305.8,5.5,D
22.79971,86.09286,331.4,0.39,0.44,2020-06-01,07:42,N,nominal,1.0NRT,300,1.9,D
21.275,75.52581,346.6,0.4,0.44,2020-06-01,07:42,N,nominal,1.0NRT,305.1,8.3,D
22.53613,81.30259,337,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.4,2.1,D
20.90453,71.3398,335,0.37,0.58,2020-06-01,07:42,N,nominal,1.0NRT,300.2,3.7,D
23.7741,86.3904,330.9,0.41,0.45,2020-06-01,07:42,N,low,1.0NRT,301.7,5.5,D
23.78289,86.39335,339.9,0.41,0.45,2020-06-01,07:42,N,nominal,1.0NRT,299.8,4.6,D
21.42566,71.85458,348.1,0.34,0.56,2020-06-01,07:42,N,nominal,1.0NRT,299.8,2.8,D
23.78452,86.33535,330.3,0.41,0.45,2020-06-01,07:42,N,low,1.0NRT,301.5,6,D
23.75252,85.85589,334.3,0.39,0.44,2020-06-01,07:42,N,nominal,1.0NRT,301.8,5.2,D
22.08712,73.1468,333.5,0.54,0.51,2020-06-01,07:42,N,nominal,1.0NRT,296.6,4.9,D
23.10431,75.81017,337.6,0.55,0.42,2020-06-01,07:42,N,low,1.0NRT,310.1,15.6,D
23.10488,75.81281,342,0.54,0.42,2020-06-01,07:42,N,low,1.0NRT,312.8,16.3,D
22.35843,71.68504,337.5,0.33,0.55,2020-06-01,07:42,N,nominal,1.0NRT,299.2,3.2,D
22.49778,71.71258,334.7,0.33,0.55,2020-06-01,07:42,N,nominal,1.0NRT,299.8,4.9,D
24.91284,85.05721,338.1,0.54,0.42,2020-06-01,07:42,N,nominal,1.0NRT,300.4,7,D
22.9149,72.47768,336.8,0.58,0.52,2020-06-01,07:42,N,nominal,1.0NRT,299.5,7.6,D
22.69723,70.64933,338.1,0.38,0.59,2020-06-01,07:42,N,nominal,1.0NRT,299.7,7.1,D
25.07738,83.42764,344,0.45,0.39,2020-06-01,07:42,N,nominal,1.0NRT,306.4,8.3,D
23.27968,72.18576,336.4,0.59,0.53,2020-06-01,07:42,N,nominal,1.0NRT,300.9,9.3,D
22.75275,69.56377,331,0.44,0.62,2020-06-01,07:42,N,low,1.0NRT,301,6.1,D
22.75841,69.56229,331,0.44,0.62,2020-06-01,07:42,N,low,1.0NRT,302.4,5.7,D
22.75745,69.55802,330.8,0.44,0.62,2020-06-01,07:42,N,low,1.0NRT,302.1,9.3,D
23.41225,72.39074,345.4,0.57,0.52,2020-06-01,07:42,N,nominal,1.0NRT,303.2,18.4,D
23.41217,72.38843,351.1,0.57,0.52,2020-06-01,07:42,N,nominal,1.0NRT,303.3,16.3,D
24.06188,74.19402,345.6,0.43,0.46,2020-06-01,07:42,N,nominal,1.0NRT,313,7.2,D
24.78959,78.19976,344.1,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,306.9,21.2,D
25.11351,79.95731,341.8,0.38,0.36,2020-06-01,07:42,N,low,1.0NRT,309.9,8.1,D
24.74396,74.11246,344.2,0.42,0.45,2020-06-01,07:42,N,nominal,1.0NRT,309.9,6.1,D
24.88047,73.96375,346.5,0.43,0.46,2020-06-01,07:42,N,nominal,1.0NRT,310.8,8.8,D
9.03962,78.22402,335.4,0.43,0.46,2020-06-01,07:42,N,nominal,1.0NRT,292.1,2.6,D
9.15382,78.45998,333.7,0.42,0.45,2020-06-01,07:42,N,nominal,1.0NRT,293.7,1.2,D
9.31143,78.82401,339.7,0.39,0.44,2020-06-01,07:42,N,nominal,1.0NRT,292.6,4,D
19.62064,83.2613,337.7,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,299.5,2.8,D
19.67303,83.60399,333.1,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,299.8,3.6,D
19.62017,83.20988,337.9,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,295.3,3,D
19.63368,83.20753,331.2,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,295,2.4,D
19.45804,81.49832,332.3,0.38,0.36,2020-06-01,07:42,N,low,1.0NRT,302.4,1.7,D
19.712,82.96994,331.6,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,296.3,3.5,D
19.83331,83.58321,339,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,295.9,4.7,D
20.2416,86.6084,330.2,0.39,0.44,2020-06-01,07:42,N,nominal,1.0NRT,292,2.8,D
19.87122,83.52887,336.4,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,296.1,3.8,D
20.45911,81.43121,334.5,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,303.2,1.8,D
20.50361,81.3446,341.3,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.9,4.3,D
20.53893,81.37624,342.7,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.4,6.4,D
20.89448,83.61156,335.3,0.42,0.38,2020-06-01,07:42,N,nominal,1.0NRT,300.6,3.1,D
20.68935,81.45529,343.9,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.2,8,D
20.85336,82.47508,341.4,0.39,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.5,3.8,D
20.75608,81.81045,347.6,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,307.1,6.5,D
20.85671,82.47453,338.3,0.39,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.2,3.8,D
20.76818,81.86909,333.8,0.39,0.36,2020-06-01,07:42,N,low,1.0NRT,305.5,7,D
20.76763,81.86539,342.1,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.7,3.7,D
20.77267,81.78494,344.9,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.8,6.2,D
20.72337,81.34392,335,0.38,0.36,2020-06-01,07:42,N,low,1.0NRT,305.5,4.3,D
20.74501,81.46465,336.3,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,305.7,2.3,D
20.74832,81.46407,338,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.1,2.3,D
20.81572,81.84596,338,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.9,5.2,D
20.81516,81.84226,344.2,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.3,5,D
20.82564,81.88985,351.1,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,305.9,5.2,D
20.82509,81.88615,342.7,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,307.4,5.6,D
20.82014,81.85281,352.6,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.4,7.4,D
20.81958,81.84911,347.6,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,309,5.2,D
20.81848,81.84171,344.4,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306,5,D
20.8229,81.84856,355.6,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,312.1,37.9,D
20.82235,81.84485,351.9,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,313,37.9,D
20.81849,81.81895,343.5,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.4,7.2,D
20.83284,81.86967,335.9,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,304.8,4.8,D
20.83616,81.86911,353.1,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.7,4.8,D
20.91879,82.40636,338.2,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,304.4,3.1,D
20.91824,82.40259,345.1,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,305.3,3.1,D
20.84002,81.87226,350.6,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,313.1,50.1,D
20.83947,81.86856,356.4,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,309.5,32.1,D
20.80571,81.48777,342,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,307.1,3.5,D
20.86629,81.87118,355.2,0.39,0.36,2020-06-01,07:42,N,low,1.0NRT,308.1,21.9,D
20.86961,81.87062,354.3,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.3,21.9,D
20.80493,81.30307,338.7,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,305.9,2.3,D
20.80214,81.28468,335.8,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,305.7,3.5,D
20.80158,81.28101,345.1,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.5,3.5,D
20.85368,81.51362,336.8,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.6,3.7,D
20.9281,81.99024,343.4,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,303.1,3,D
20.8592,81.5278,336.5,0.38,0.36,2020-06-01,07:42,N,low,1.0NRT,307.5,4.2,D
20.96875,82.24369,336.8,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,303.8,2.6,D
21.01133,82.39474,337.2,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,303.2,1.5,D
20.90998,81.5948,338.4,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.3,3.2,D
20.91264,81.59088,343.7,0.38,0.36,2020-06-01,07:42,N,nominal,1.0NRT,307.8,4.6,D
21.06015,82.57774,337,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.7,2,D
21.10363,82.78674,347.6,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,306.9,6.7,D
21.26699,83.92002,335.8,0.44,0.38,2020-06-01,07:42,N,nominal,1.0NRT,304.3,5.8,D
21.09198,82.41692,336.4,0.39,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.3,1.9,D
21.09533,82.41637,336,0.39,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.7,2.8,D
21.0696,82.216,344.4,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.3,6.6,D
21.20756,83.15373,340,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.7,9.8,D
21.0883,82.32082,340.7,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,304.7,3,D
21.07348,82.21922,340.1,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.9,12.8,D
21.07293,82.21546,352.8,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.2,12.8,D
21.26428,83.33234,340.8,0.42,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.1,3.7,D
21.20645,82.82535,337.7,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,303.5,2.4,D
21.21442,82.66214,337.6,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.4,2.8,D
21.40774,84.03327,331.1,0.44,0.39,2020-06-01,07:42,N,nominal,1.0NRT,300.8,2.3,D
21.3588,83.67162,344,0.43,0.38,2020-06-01,07:42,N,nominal,1.0NRT,304.5,5.9,D
21.25417,82.89326,346.8,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.7,4.3,D
21.18334,82.39771,344.3,0.39,0.37,2020-06-01,07:42,N,nominal,1.0NRT,306.4,4.4,D
21.39054,83.74722,346,0.43,0.38,2020-06-01,07:42,N,nominal,1.0NRT,304.3,5.1,D
21.45606,84.09596,339.6,0.45,0.39,2020-06-01,07:42,N,nominal,1.0NRT,302.4,3.8,D
21.21298,82.36569,342.2,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.1,4.1,D
21.263,82.31868,337.4,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,303.6,1,D
21.05905,80.83932,338.1,0.38,0.36,2020-06-01,07:42,N,low,1.0NRT,305.6,5.1,D
21.36078,82.78468,336.4,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,303.1,2.8,D
21.52044,83.90825,336.1,0.44,0.38,2020-06-01,07:42,N,nominal,1.0NRT,301.1,2.2,D
21.48343,83.58536,336.1,0.43,0.38,2020-06-01,07:42,N,nominal,1.0NRT,301.8,2.1,D
21.41836,83.0437,340.3,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,306,2.9,D
21.39886,82.9061,335.1,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,303.4,1.5,D
21.38442,82.8047,338.8,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.1,1.9,D
21.3645,82.6655,336.2,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,304.9,2,D
21.35294,82.56117,338.2,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.8,4.2,D
21.35239,82.55734,338.2,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.8,4.2,D
21.71399,85.14217,347.1,0.5,0.41,2020-06-01,07:42,N,nominal,1.0NRT,296.1,7.1,D
21.37185,82.6446,335.3,0.4,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.1,1.6,D
21.71836,85.14638,340,0.5,0.41,2020-06-01,07:42,N,nominal,1.0NRT,295.1,7.1,D
21.29519,82.07056,345.2,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.5,3.9,D
21.31126,82.11017,350.2,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,308.1,4.9,D
21.31071,82.10643,335,0.39,0.36,2020-06-01,07:42,N,low,1.0NRT,307.4,4.9,D
21.31319,82.10947,345.2,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,307.3,3.1,D
21.29955,82.01574,336.4,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,306.4,1.6,D
21.31652,82.10892,337.6,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,305.4,3.1,D
21.31598,82.10516,336,0.39,0.36,2020-06-01,07:42,N,nominal,1.0NRT,304.8,3.1,D
21.45036,82.90172,347.1,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,305.8,8.1,D
21.48752,83.11779,338,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,303.1,4.4,D
21.48697,83.11382,331.8,0.41,0.37,2020-06-01,07:42,N,nominal,1.0NRT,299.6,1.6,D
